Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
_CP23_1,Akrotech Europe CAP-230,Akrotech Europe SA,France,Landplane,General Aviation,Piston,1,Light,1,,,
_CP23_2,Mudry CAP-230,Avions Mudry &amp; Cie,France,Landplane,General Aviation,Piston,1,Light,1,,,
_CP30_1,Coopavia-Menavia CP-301 Emeraude,- see COOPAVIA and MENAVIA,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_2,Binder CP-301 Smaragd,Binder Aviatik KG,Germany,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_3,Rouchaud CP-301 Emeraude,"F.Rouchaud, Construction A&eacute;ronautique",France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_4,Fairtravel Linnet,Fairtravel Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_5,Hainz CP-301 Emeraude,Franz Hainz,Germany,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_6,Renard CP-301 Emeraude,Robert Renard,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_7,Rousseau CP-301 Emeraude,Rousseau Aviation,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_8,Scintex CP-301 Emeraude,Scintex-Aviation SA,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_9,SCANOR CP-301 Emeraude,Soci&eacute;t&eacute; de Construction A&eacute;ronautique du Nord,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_A,SOCA CP-301 Emeraude,Soci&eacute;t&eacute; de l&#039;Ouest de Construction A&eacute;ronautique,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_B,Stark CP-301 Emeraude,Stark Flugzeugbau KG,Germany,Landplane,General Aviation,Piston,1,Light,2,,,
_CP30_C,Garland Linnet,The Garland Aircraft Company,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,,,
_CP32_1,Erpals CP-320 SuperEmeraude,Erpals Industrie,France,Landplane,General Aviation,Piston,1,Light,2,,,
_CRES_1,New Zealand Cresco,New Zealand Aerospace Industries Ltd,New Zealand,Landplane,Passenger Airliner,Turboprop,1,Light,9,,,
_CRJ1_1,Canadair Regional Jet CRJ-100,Canadair Ltd,Canada,Landplane,Passenger Airliner,Jet,2,Medium,50,,,
_CRUZ_1,CSA SportCruiser,Czech Sport Aircraft Inc,Czech Republic,Landplane,General Aviation,Piston,1,Light,2,,,
_CRUZ_2,Piper PiperSport,"Piper Aircraft, Inc",United States,Landplane,General Aviation,Piston,1,Light,2,,,
_CT4_1,AESL CT-4 Airtrainer,Aero Engine Services Ltd,New Zealand,Landplane,General Aviation,Piston,1,Light,2,,,
_CUCA_1,La France Cadet STF,Neil La France,United States,Landplane,General Aviation,Piston,1,Light,,,,
_CVLT_1,Canadair CC-109 Cosmopolitan,Canadair Ltd,Canada,Landplane,Passenger Airliner,Turboprop,2,Medium,40,,,
_CVLT_2,Kelowna CV-5800,Kelowna Flightcraft Group,Canada,Landplane,Passenger Airliner,Turboprop,2,Medium,40,,,
_D1_1,Derringer New Derringer,Derringer Aircraft Company LLC,United States,Landplane,General Aviation,Piston,2,Light,2,,,
_D11_1,Aero-Jodel D-11,Aero Flugzeugbau Hubert Zuerl,Germany,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_2,Aero-Difusion D-112 Popuplane,Aero-Difusi&oacute;n SL,Spain,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_3,Alpavia D-117,Alpavia SA,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_4,EAC D-127,Etudes A&eacute;ronautiques &amp; Commerciales SARL,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_5,Falconar F-11,Falconar Air Engineering,Canada,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_6,Desjardins D-01 Ibis,Jacques Desjardins,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_7,Denize D-112,Robert Denize,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_8,Renard D-112,Robert Renard,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_9,SAN D-11,Soci&eacute;t&eacute; A&eacute;ronautique Normande,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_A,Valladeau D-112,Valladeau,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_B,Uetz U2V (Jodel D-11),Walter Uetz Flugzeugbau,Switzerland,Landplane,General Aviation,Piston,1,Light,2,,,
_D11_C,Wassmer D-112,Wassmer Aviation SA,France,Landplane,General Aviation,Piston,1,Light,2,,,
_D140_1,Jodel D-140 Mousquetaire,Avions Jodel SA,France,Landplane,General Aviation,Piston,1,Light,5,,,
_D140_2,Mudry D-140 Mousquetaire,Avions Mudry &amp; Cie,France,Landplane,General Aviation,Piston,1,Light,5,,,
_D150_1,SAN D-150 Mascaret,Soci&eacute;t&eacute; A&eacute;ronautique Normande,France,Landplane,General Aviation,Piston,1,Light,,,,
_D228_1,Fairchild Dornier 228,Fairchild Aerospace Corporation,United States,Landplane,Passenger Airliner,Turboprop,2,Light,19,,,
_D228_2,Hindustan 228,Hindustan Aeronautics Limited (HAL),India,Landplane,Passenger Airliner,Turboprop,2,Light,19,,,
_D228_3,Ruag Dornier 228,RUAG Aerospace,Switzerland,Landplane,Passenger Airliner,Turboprop,2,Light,19,,,
_D31_1,Stark D-31 Turbulent,Stark Flugzeugbau KG,Germany,Landplane,Ultralight,Piston,1,Light,1,,,
_D31_2,Rollason D-31 Turbulent,Rollason Aircraft and Engines Ltd,United Kingdom,Landplane,Ultralight,Piston,1,Light,1,,,
_D328_1,Fairchild Dornier 328,Fairchild Aerospace Corporation,United States,Landplane,Passenger Airliner,Turboprop,2,Medium,33,,,
_D4_1,Beagle-Auster D-4,Beagle-Auster Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,,,
_D5_1,Auster D-5,Auster Aircraft Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,,,,
_D5_2,Beagle-Auster D-5,Beagle-Auster Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,,,,
_D5_3,OGMA D-5,Oficinas Gerais de Material Aeron&aacute;utica,Portugal,Landplane,General Aviation,Piston,1,Light,,,,
_D6_1,Beagle-Auster D-6,Beagle-Auster Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,4,,,
_D6CR_1,Rollason D.62 Condor,Rollason Aircraft and Engines Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,,,
_DAL4_1,D-4 Fascination VLA,Fascination Production Ltd.,_unknown_,Landplane,General Aviation,Piston,1,Light,2,2003,2004,3
_DC10_1,Boeing MD-10,The Boeing Company,United States,Landplane,Passenger Airliner,Jet,3,Heavy,4,,,
_DC3T_1,Basler BT-67 Turbo 67,Basler Turbo Conversions Inc,United States,Landplane,Passenger Airliner,Turboprop,2,Medium,38,1990,,
_DC3T_2,Professional Aviation Jet Prop DC-3,Professional Aviation Services Pty Ltd,South Africa,Landplane,Passenger Airliner,Turboprop,2,Medium,32,,,
_DC3T_3,Schafer DC-3-65TP,Schafer Aircraft Modifications Inc,United States,Landplane,Passenger Airliner,Turboprop,2,Medium,32,,,
_DC86_1,McDonnell Douglas DC-8-60,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,4,Heavy,,,,
_DC87_1,McDonnell Douglas DC-8-70,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,4,Heavy,,,,
_DC91_1,McDonnell Douglas DC-9-10,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,2,Medium,90,,,
_DC92_1,McDonnell Douglas DC-9-20,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,2,Medium,90,,,
_DC93_1,McDonnell Douglas DC-9-30,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,2,Medium,115,,,
_DC94_1,McDonnell Douglas DC-9-40,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,2,Medium,125,,,
_DC95_1,McDonnell Douglas DC-9-50,McDonnell Douglas,United States,Landplane,Passenger Airliner,Jet,2,Medium,135,,,
_DFLY_1,Slipstream Dragonfly,SlipStream Industries Inc,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_DG80_1,Glaser-Dirks DG-800,Glaser-Dirks Flugzeugbau GmbH,Germany,Landplane,Glider,No engine,0,Light,1,,,
_DH3T_1,Vardax Vazar Dash 3,Vardax Corporation,United States,Landplane,Passenger Airliner,Turboprop,1,Light,11,,,
_DH60_1,de Havilland Australia DH.60 Moth,The De Havilland Aircraft Company Pty Ltd,Australia,Landplane,General Aviation,Piston,1,Light,2,,,
_DH82_1,de Havilland Canada DH.82 Tiger Moth,de Havilland Aircraft of Canada Ltd,Canada,Landplane,Military Trainer,Piston,1,Light,2,,,
_DH82_2,de Havilland Australia DH.82 Tiger Moth,The De Havilland Aircraft Company Pty Ltd,Australia,Landplane,Military Trainer,Piston,1,Light,2,,,
_DH82_3,OGMA DH.82 Tiger Moth,Oficinas Gerais de Material Aeron&aacute;utica,Portugal,Landplane,Military Trainer,Piston,1,Light,2,,,
_DHC1_1,de Havilland DHC-1 Chipmunk,de Havilland Aircraft Company ,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,,,
_DHC1_2,Ogma DHC-1 Chipmunk,Oficinas Gerais de Material Aeron&aacute;utica,Portugal,Landplane,General Aviation,Piston,1,Light,2,,,
_DHC2_1,Airtech DHC-2-PZL3S Beaver,Airtech Canada Aviation Services Ltd,Canada,Landplane,Passenger Airliner,Piston,1,Light,7,,,
_DHC3_1,Airtech DHC-3-PZL3S Otter,Airtech Canada Aviation Services Ltd,Canada,Landplane,Passenger Airliner,Piston,1,Light,11,,,
_DHC6_1,Scenic DHC-6 Vistaliner,Scenic Aviation Services,United States,Landplane,Passenger Airliner,Turboprop,2,Light,20,,,
_DHC6_2,Viking DHC-6 Twin Otter,Viking Air Ltd,Canada,Landplane,Passenger Airliner,Turboprop,2,Light,20,,,
_DIMO_2,Hoac HK-36 Super Dimona,HOAC Austria Flugzeugwerk Wiener Neustadt GmbH,Austria,Landplane,Motor-Glider,Piston,1,Light,2,,,
_DIMO_3,Hoffmann H-36 Dimona,Hoffmann Aircraft Flugzeugproduktion und Entwicklung GmbH,Austria,Landplane,Motor-Glider,Piston,1,Light,2,,,
_DJIN_1,Sud SO-1221 Djinn,Sud Aviation,France,Helicopter,Helicopter,Turboprop,1,Light,2,,,
_DO27_1,CASA C-127,Construcciones Aeron&aacute;uticas SA (CASA),Spain,Landplane,General Aviation,Piston,1,Light,6,,,
_DOVE_1,Hawker Siddeley DH.104 Dove,Hawker Siddeley,United Kingdom,Landplane,Passenger Airliner,Piston,2,Light,8,,,
_DOVE_2,Riley Dove 400,Riley Aircraft Corporation,United States,Landplane,Passenger Airliner,Piston,2,Light,8,,,
_DR1_1,Sands Fokker Dr-1,Ron Sands Company,United States,Landplane,Fighter,Piston,1,Light,1,,,
_DR1_2,Redfern Fokker Dr-1,Walter Redfern Company,United States,Landplane,Fighter,Piston,1,Light,1,,,
_DR10_1,SAN DR-1050 Ambassadeur,Soci&eacute;t&eacute; A&eacute;ronautique Normande,France,Landplane,General Aviation,Piston,1,Light,3,,,
_DR30_1,Centre Est DR.315 Petit Prince,Centre Est A&eacute;ronautique,France,Landplane,General Aviation,Piston,1,Light,4,,,
_DRAG_1,CRAE Dragon Fly,CRAE Elettromeccanica SpA,Italy,Helicopter,Helicopter,Piston,1,Light,,,,
_DRAG_2,DF Helicopters Dragon,DF Helicopters SRL,Italy,Helicopter,Helicopter,Piston,1,Light,,,,
_DRTG_1,Applegate &amp; Weyant Dart GC,Applegate &amp; Weyant,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_DRTG_2,Culver Dart G,Culver Aircraft Company,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_DUB2_1,Taifun DMZ-2 Osa,Taifun Experimental Design Bureau,Russian Federation,Landplane,_unknown_,Piston,1,Light,,,,
_DV1_1,Marsden Skylark,David Marsden,Canada,Landplane,General Aviation,Piston,1,Light,,,,
_DV20_1,Hoac DV-20 Katana,HOAC Austria Flugzeugwerk Wiener Neustadt GmbH,Austria,Landplane,General Aviation,Piston,1,Light,2,,,
_DW1_1,Bellanca DW.1 Eagle,Bellanca Aircraft Corporation,United States,Landplane,Agricultural,Piston,1,Light,1,,,
_DWD2_1,EKW D-26,Eidgen&ouml;ssische Konstruktions Werkst&auml;tte,Switzerland,Landplane,Military Trainer,Piston,1,Light,1,,,
_E120_1,Neiva EMB-120 Brasilia,Industria Aeron&aacute;utica Neiva SA,Brazil,Landplane,Passenger Airliner,Turboprop,2,Medium,30,,,
_E145_1,Harbin Embraer ERJ-145LI,Harbin Embraer Aircraft Industry Company Ltd,China,Landplane,Passenger Airliner,Jet,2,Medium,50,,,
_E2_1,Grumman E-2 Hawkeye,Grumman Aerospace Corporation,United States,Landplane,Reconnaissance,Turboprop,2,Medium,5,,,
_EAGL_1,Christen Eagle,Christen Industries Inc,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_EAGX_1,CTRM Eagle 150,Composites Technology Research Malaysia Sdn Bhd,Malaysia,Landplane,General Aviation,Piston,1,Light,2,2001,,1
_EC20_1,Harbin HC-120,Harbin Aircraft Manufacturing Corporation (HAMC),China,Helicopter,Helicopter,Turboprop,1,Light,5,,,
_EC45_1,Eurocopter-Kawasaki EC-145,- see EUROCOPTER and KAWASAKI,_unknown_,Helicopter,Helicopter,Turboprop,2,Light,9,,,
_EC75_1,AIRBUS HELICOPTERS-HARBIN EC-175,- see EUROCOPTER and HARBIN,_unknown_,Helicopter,Helicopter,Turboprop,2,Light,18,2009,,
_EH10_1,EHI EH-101 Merlin,EH Industries Ltd,United Kingdom,Helicopter,Helicopter,Turboprop,3,Medium,24,,,
_EH10_2,Kawasaki MCH-101,Kawasaki Heavy Industries Aerospace Company,Japan,Helicopter,Helicopter,Turboprop,3,Medium,24,,,
_EN28_1,Wuhan 280,Wuhan Helicopter General Aviation Corporation,China,Helicopter,Helicopter,Turboprop,1,Light,3,,,
_EN48_1,Wuhan TH-28,Wuhan Helicopter General Aviation Corporation,China,Helicopter,Helicopter,Turboprop,1,Light,5,,,
_EP9_1,Lancashire EP-9 Prospector,Lancashire Aircraft Company Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,6,,,
_EPIC_1,AIR Epic Dynasty,Aircraft Investor Resources LLC,United States,Landplane,General Aviation,Turboprop,1,Light,6,,,
_ERCO_1,Air Products F-1 Aircoupe,Air Products Company Inc,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_ERCO_2,Alon A-2 Aircoupe,Alon Inc,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_ERCO_3,Fornaire F-1 Aircoupe,Fornaire Aircraft Company,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_ERCO_4,Forney F-1 Aircoupe,Forney Aircraft Manufacturing Company,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_ERCO_5,Mooney A-2 Aircoupe,Mooney Airplane Company,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_ES13_1,Clifford Aeroworks SPAD 13 80%,Clifford Aeroworks,United States,Landplane,General Aviation,Piston,1,Light,1,,,
_ESCP_1,Reality Escapade,Reality Aircraft Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,2,,,
_EUFI_1,Alenia Typhoon,Alenia Aeronautica,Italy,Landplane,Fighter,Jet,2,Medium,1,,,
_EUFI_2,Bae Systems Eurofighter 2000,BAE Systems,United Kingdom,Landplane,Fighter,Jet,2,Medium,1,,,
_EUFI_3,CASA Eurofighter 2000,Construcciones Aeron&aacute;uticas SA (CASA),Spain,Landplane,Fighter,Jet,2,Medium,1,,,
_EUFI_4,Dasa Eurofighter 2000,DaimlerChrysler Aerospace AG (DASA),Germany,Landplane,Fighter,Jet,2,Medium,1,,,
_EUFI_5,British Aerospace Eurofighter 2000,Britisch Aerospace (BAe),United Kingdom,Landplane,Fighter,Jet,2,Medium,1,,,
_EVIC_1,AIR Epic Victory,Aircraft Investor Resources LLC,United States,Landplane,Business Jet,Jet,1,Light,4,,,
_EX5T_1,Explorer 500T,Explorer Aircraft Inc,United States,Landplane,Passenger Airliner,Turboprop,1,Light,10,,,
_EXEC_1,Huzhou Taixiang Exec,Huzhou Taixiang Aviation Technology Company,China,Helicopter,Helicopter,Piston,1,Light,,,,
_EXPL_1,McDonnell Douglas MD-900 Explorer,McDonnell Douglas,United States,Helicopter,Helicopter,Turboprop,2,Light,6,,,
_EXPL_2,Boeing MD-902 Explorer,The Boeing Company,United States,Helicopter,Helicopter,Turboprop,2,Light,6,,,
_EXPR_1,Express,Express Aircraft Company LLC,United States,Landplane,General Aviation,Piston,1,Light,4,,,
_EZFL_1,Aerocomp E-Z Flyer,Aerocomp Inc,United States,Landplane,Ultralight,Piston,1,Light,2,,,
_EZFL_2,Merlin E-Z Flyer,Merlin Aircraft Inc,United States,Landplane,Ultralight,Piston,1,Light,2,,,
_F104_1,Canadair F-104 Starfighter,Canadair Ltd,Canada,Landplane,Fighter,Jet,1,Medium,1,,,
_F111_1,General Dynamics/Grumman EF-111A Raven,Grumman Aerospace Corporation,United States,Landplane,Other military,Jet,2,Medium,2,1977,?,42
_F15_1,Mitsubishi F-15 Eagle,Mitsubishi Heavy Industries,Japan,Landplane,Fighter,Jet,2,Medium,1,,,
_F156_1,Morane-Saulnier MS.500 Criquet,A&eacute;roplanes Morane-Saulnier,France,Landplane,General Aviation,Piston,1,Light,2,,,
_F156_2,Mraz K-65 Cap,Tovarna Letadel Inz.J.Mr&aacute;z,Czech Republic,Landplane,General Aviation,Piston,1,Light,2,,,
_F16_1,Fokker F-16 Fighting Falcon,Fokker,Netherlands,Landplane,Fighter,Jet,1,Medium,1,,,
_F16_2,Korea Aerospace F-16 Fighting Falcon,Korea Aerospace Industries Ltd. (KAI),"Korea, Republic of",Landplane,Fighter,Jet,1,Medium,1,,,
_F16_3,Lockheed F-16 Fighting Falcon,Lockheed Corporation,United States,Landplane,Fighter,Jet,1,Medium,1,,,
_F16_4,Lockheed Martin F-16 Fighting Falcon,Lockheed Martin,United States,Landplane,Fighter,Jet,1,Medium,1,,,
_F16_5,Samsung F-16 Fighting Falcon,Samsung Aerospace Industries Ltd,"Korea, Republic of",Landplane,Fighter,Jet,1,Medium,1,,,
_F16_6,Sabca F-16 Fighting Falcon,Soci&eacute;t&eacute; Anonyme Belge de Constructions A&eacute;ronautiques,Belgium,Landplane,Fighter,Jet,1,Medium,1,,,
_F16_7,TAI F-16 Fighting Falcon,Turkish Aerospace Industries Inc,Turkey,Landplane,Fighter,Jet,1,Medium,1,,,
_F18H_1,ASTA AF-18 Hornet,Aerospace Technologies of Australia Pty Ltd,Australia,Landplane,Fighter,Jet,2,Medium,1,,,
_F18H_2,GAF AF-18 Hornet,Government Aircraft Factory (GAF),Australia,Landplane,Fighter,Jet,2,Medium,1,,,
_F18H_3,Finavitec FA-18 Hornet,Patria Finavitec OY,Finland,Landplane,Fighter,Jet,2,Medium,1,,,
_F18H_4,SF FA-18 Hornet,Swiss Aircraft and Systems Enterprise Corporation,Switzerland,Landplane,Fighter,Jet,2,Medium,1,,,
_F18H_5,Valmet FA-18 Hornet,Valmet Aviation Industries,Finland,Landplane,Fighter,Jet,2,Medium,1,,,
_F18S_1,Boeing EA-18G Growler,The Boeing Company,United States,Landplane,Other military,Jet,2,Medium,2,2006,,
_F260_1,Aermacchi SF.260,Alenia Aermacchi SpA,Italy,Landplane,General Aviation,Piston,1,Light,3,,,
_F260_2,TAI SF.260,Turkish Aerospace Industries Inc,Turkey,Landplane,General Aviation,Piston,1,Light,3,,,
_F26T_1,ARDC Layang,Air Force Research and Development Center,Philippines,Landplane,General Aviation,Turboprop,1,Light,3,,,
_F26T_2,PADC SF-260TP,Philippine Aerospace Development Corporation,Philippines,Landplane,General Aviation,Turboprop,1,Light,3,,,
_F27_1,Conair F-27 Firefighter,Conair Aviation Ltd,Canada,Landplane,Passenger Airliner,Turboprop,2,Medium,52,,,
_F27_2,Fairchild F-27,Fairchild Aircraft,United States,Landplane,Passenger Airliner,Turboprop,2,Medium,52,,,
_F27_3,Fairchild Hiller F-27,Fairchild Hiller Corporation,United States,Landplane,Passenger Airliner,Turboprop,2,Medium,52,,,
_F3F_1,Texas Airplane F3F Replica,Texas Airplane Factory,United States,Landplane,Fighter,Piston,1,Light,1,,,
_F4_1,IAI F-4 Phantom 2000,Israel Aerospace Industries (IAI),Israel,Landplane,Fighter,Jet,2,Medium,2,,,
_F4_2,McDonnell F-4 Phantom II,McDonnell Aircraft Corporation,United States,Landplane,Fighter,Jet,2,Medium,2,,,
_F4_3,Mitsubishi F-4 Phantom II,Mitsubishi Heavy Industries,Japan,Landplane,Fighter,Jet,2,Medium,2,,,
_F406_1,Reims F406 Vigilant,Reims Aviation,France,Landplane,Passenger Airliner,Turboprop,2,Light,12,1983,,
_F5_1,AIDC F-5 Chung-Cheng,Aerospace Industrial Development Corporation (IADC),"Taiwan, Republic of China",Landplane,Fighter,Jet,2,Medium,1,,,
_F5_2,Canadair CF-5,Canadair Ltd,Canada,Landplane,Fighter,Jet,2,Medium,1,,,
_F5_3,CASA SF-5,Construcciones Aeron&aacute;uticas SA (CASA),Spain,Landplane,Fighter,Jet,2,Medium,1,,,
_F5_4,F+W Emmen F-5 Tiger 2,Eidgen&ouml;ssisches Flugzeugwerk,Switzerland,Landplane,Fighter,Jet,2,Medium,1,,,
_F5_5,Korean Air F-5 Tiger 2,Korean Air Lines Company Ltd,"Korea, Republic of",Landplane,Fighter,Jet,2,Medium,1,,,
_F600_1,SIAI-Marchetti SF-600 Canguro,SIAI-Marchetti,Italy,Landplane,Passenger Airliner,Turboprop,2,Light,10,,,
_F8_1,Chance Vought F8 Crusader,Chance Vought Aircraft Inc,United States,Landplane,Fighter,Jet,1,Medium,1,,,
_F8_2,LTV F-8 Crusader,Ling-Temco-Vought (LTV),United States,Landplane,Fighter,Jet,1,Medium,1,,,
_F86_1,Canadair Sabre,Canadair Ltd,Canada,Landplane,Fighter,Jet,1,Medium,1,,,
_F86_2,Commonwealth CA-27 Sabre,Commonwealth Aircraft Corporation (CAC),Australia,Landplane,Fighter,Jet,1,Medium,1,,,
_F86_3,Mitsubishi F-86 Sabre,Mitsubishi Heavy Industries,Japan,Landplane,Fighter,Jet,1,Medium,1,,,
_F8L_1,Laverda F-8L Falco,Laverda SpA,Italy,Landplane,General Aviation,Piston,1,Light,,,,
_F8L_2,Aeromere F-8L Falco,Aeromere,Italy,Landplane,General Aviation,Piston,1,Light,2,,,
_F8L_3,Aviamilano F-8L Falco,Aviamilano Costruzione Aeronautiche,Italy,Landplane,General Aviation,Piston,1,Light,2,,,
_FA62_1,Fleet PT-26 Cornell,Fleet Aircraft Inc,United States,Landplane,Military Trainer,Piston,1,Light,2,,,
_FALM_1,Phillips &amp; Powis M.3 Falcon Major,Phillips &amp; Powis Aircraft Ltd,United Kingdom,Landplane,General Aviation,Piston,1,Light,4,,,
_FANT_1,RTAF Fantrainer,Royal Thai Air Force,Thailand,Landplane,Military Trainer,Piston,1,Light,2,,,
_FH11_1,Fairchild FH-1100,Fairchild Aircraft,United States,Helicopter,Helicopter,Turboprop,1,Light,4,,,
_FH11_2,Hiller FH-1100,Hiller Aircraft,United States,Helicopter,Helicopter,Turboprop,1,Light,4,,,
_FH11_3,Rogerson Hiller RH-1100 Hornet,Rogerson Hiller Corporation,United States,Helicopter,Helicopter,Turboprop,1,Light,4,,,
_FL3_1,Lombardi FL-3 Aviastarlet,Aeronautica Lombardi,Italy,Landplane,General Aviation,Piston,1,Light,2,,,
_FN33_1,SIAI-Marchetti FN-333 Riviera,SIAI-Marchetti,Italy,Amphibian,General Aviation,Piston,1,Light,4,,,
_FNKB_1,Akron Funk B,Akron Aircraft Company Inc,United States,Landplane,General Aviation,Piston,1,Light,2,,,
_FOUG_1,Potez CM-170R Magister,A&eacute;roplanes Henry Potez,France,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_2,Aerospatiale CM-170R Magister,A&eacute;rospatiale,France,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_3,Air-Fouga CM-170R Magister,Air-Fouga,France,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_4,Sudflug CM-170R Magister,Flugzeug-Union-S&uuml;d,Germany,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_5,IAI CM-170R Tzukit,Israel Aerospace Industries (IAI),Israel,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_6,Potez Air-Fouga CM-170R Magister,Potez Air-Fouga,France,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_7,Sud CM-170R Magister,Sud Aviation,France,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOUG_8,Valmet CM-170R Magister,Valmet Aviation Industries,Finland,Landplane,Military Trainer,Jet,2,Light,2,,,
_FOX_1,Kitfox,Kitfox Aircraft LLC,United States,Landplane,General Aviation,Piston,1,Light,,,,
_FOX_2,Paci Skyfox,Philippine Aircraft Company Inc,Philippines,Landplane,General Aviation,Piston,1,Light,,,,
_FOX_3,Skyfox CA-25 Gazelle,Skyfox Aviation Ltd,Australia,Landplane,General Aviation,Piston,1,Light,,,,
_FOX_4,Skystar Kitfox,Skystar Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,,,,
_FREE_1,Cabrinha RC-412 Free Spirit,Cabrinha Aircraft Corporation,United States,Landplane,General Aviation,Piston,1,Light,,,,
_FREE_2,Free Spirit RC-412 Free Spirit,Free Spirit Aircraft Company Inc,United States,Landplane,General Aviation,Piston,1,Light,,,,
_FREL_1,Changhe Z-8,Changhe Aircraft Industries Corporation,China,Helicopter,Helicopter,Turboprop,3,Medium,27,,,
_FREL_2,Sud SA-321 Super Frelon,Sud Aviation,France,Helicopter,Helicopter,Turboprop,3,Medium,27,,,
_FT30_1,Nanjing University FT-300,Nanjing University of Aeronautics and Astronautics,China,Landplane,_unknown_,Piston,1,Light,,,,
_FU24_1,Air Parts Fletcher FU-24,Air Parts (NZ) Ltd,New Zealand,Landplane,Agricultural,Piston,1,Light,2,,,
_FU24_2,Cable-Price Fletcher FU-24,Cable-Price Corporation,New Zealand,Landplane,Agricultural,Piston,1,Light,2,,,
_FU24_3,Flair FU-24,Flair Aviation Company,United States,Landplane,Agricultural,Piston,1,Light,2,,,
_FU24_4,James Fletcher FU-24,James Aviation,New Zealand,Landplane,Agricultural,Piston,1,Light,2,,,
_FU24_5,New Zealand Fletcher FU-24,New Zealand Aerospace Industries Ltd,New Zealand,Landplane,Agricultural,Piston,1,Light,2,,,
_FU24_6,Pacific Aerospace Fletcher FU-24,Pacific Aerospace Ltd,New Zealand,Landplane,Agricultural,Piston,1,Light,2,,,
_FU24_7,Sargent-Fletcher FU-24,Sargent-Fletcher Company,United States,Landplane,Agricultural,Piston,1,Light,2,,,
_FW44_1,FMA Fw-44 Stieglitz,Fabrica Militar de Aviones (FMA),Argentina,Landplane,General Aviation,Piston,1,Light,2,,,
_FW90_1,Flug Werk Fw-190 Replica,Flug Werk GmbH,Germany,Landplane,Fighter,Piston,1,Light,1,,,
_G150_1,IAI Gulfstream G150,Israel Aerospace Industries (IAI),Israel,Landplane,Business Jet,Jet,2,Medium,,,,
_G164_1,Aero Mod G-164 Super Ag Max,Aero Mod General,United States,Landplane,Agricultural,Piston,1,Light,1,,,
_G164_2,Grumman American G-164 Ag-Cat,Grumman American Aviation Corporation,United States,Landplane,Agricultural,Piston,1,Light,1,,,
_G164_3,Gulfstream American G-164 Ag-Cat,Gulfstream American Corporation,United States,Landplane,Agricultural,Piston,1,Light,1,,,
