Aircraft id,Aircraft name,Manufacturer,Country,Category,Role,Engine_type,Engines,WTC,Seats,First_flight,Last_manufactured,Number_built
S76,Sikorsky S-76,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,2,Light,12,1977,,774
S900,Sipa S-90,Soci&eacute;t&eacute; Industrielle pour l&#039;A&eacute;ronautique,France,Landplane,General Aviation,Piston,1,Light,2,1947,,113
S92,Sikorsky S-92,Sikorsky Aircraft Corporation,United States,Helicopter,Helicopter,Turboprop,2,Medium,19,1998,,219
SA02,K &amp; S SA-102.5 Cavalier,K &amp; S Aircraft,Canada,Landplane,General Aviation,Piston,1,Light,2,1963,,
SA03,K &amp; S SA-103 Cavalier,K &amp; S Aircraft,Canada,Landplane,General Aviation,Piston,1,Light,2,?,,
SA04,K &amp; S SA-104 Cavalier,K &amp; S Aircraft,Canada,Landplane,General Aviation,Piston,1,Light,2,?,,
SA05,K &amp; S SA-105 Super Cavalier,K &amp; S Aircraft,Canada,Landplane,General Aviation,Piston,1,Light,2,?,,
SA10,Stolp SA-100 Starduster,Louis A.Stolp,United States,Landplane,General Aviation,Piston,1,Light,1,?,,
SA11,Stits SA-11A Playmate,Stits Aircraft,United States,Landplane,General Aviation,Piston,1,Light,1,?,,
SA2,ICP SA-2 Vimana,ICP Srl,Italy,Landplane,General Aviation,Piston,1,Light,2,2006,,7
SA20,Beriev SA-20P,Beriev Aircraft Company,Russian Federation,Amphibian,General Aviation,Piston,1,Light,8,1997,,1
SA3,Stits SA-3A Playboy,Stits Aircraft,United States,Landplane,General Aviation,Piston,1,Light,1,1952,,
SA30,Stolp SA-300 Starduster Too,Louis A.Stolp,United States,Landplane,General Aviation,Piston,1,Light,2,?,,
SA37,Schweizer SA-2-37 Condor,Schweizer Aircraft Corporation,United States,Landplane,Reconnaissance,Piston,1,Light,2,1982,1988,
SA38,Schweizer SA-2-38A Twin Condor,Schweizer Aircraft Corporation,United States,Landplane,Reconnaissance,Piston,2,Light,2,1995,,
SA50,Stolp SA-500 Starlet,Louis A.Stolp,United States,Landplane,General Aviation,Piston,1,Light,1,?,,35
SA6,Stits SA-6 Flut-R-Bug,Stits Aircraft,United States,Landplane,General Aviation,Piston,1,Light,2,1956,,
SA6E,Sreya SA-6 Envoy,Sreya Aviation,United States,Landplane,_unknown_,Turboprop,1,Light,,?,,
SA7,Stits SA-7 Sky-Coupe,Stits Aircraft,United States,Landplane,General Aviation,Piston,1,Light,2,1957,,
SA70,Stolp SA-700 Acroduster,Louis A.Stolp,United States,Landplane,General Aviation,Piston,1,Light,1,?,,
SA75,Stolp SA-750 Acroduster Too,Louis A.Stolp,United States,Landplane,General Aviation,Piston,1,Light,2,1971,,
SA8T,Schweizer SA-2-38B Twin Condor,Schweizer Aircraft Corporation,United States,Landplane,Reconnaissance,Turboprop,2,Light,2,?,,
SAB2,Arnet Pereyra Sabre 2,Arnet Pereyra Aero Design,United States,Landplane,General Aviation,Piston,1,Light,2,1992,,
